src,part,pvs,Frame,vqm,bitrate,resWidth,resHeight,GroupCount,mean_Blockiness,mean_SA,mean_Blockloss,mean_Blur,mean_TA,mean_Exposure,mean_Contrast,mean_Brightness,mean_Noise
LiquidAssets_nightrays,2,0,0,0,0,0,0,50,0.7381658,17.2581072,3.0564288,7.74318,8.7618958,125.18,43.2271172,0.4925582,1.0303
LiquidAssets_nightrays,3,0,0,0,0,0,0,50,0.740198,17.5764454,3.3749998,7.88686,9.3073592,125,40.351246,0.4918496,1.035776
LiquidAssets_nightrays,4,0,0,0,0,0,0,50,0.7299612,15.3445374,3.435714,8.86544,8.008283,125,42.435768,0.4916922,1.167562
LiquidAssets_nightrays,5,0,0,0,0,0,0,50,0.758115,16.4000294,5.7807146,8.7501,9.2931756,125,40.3947838,0.4915472,1.088894
LiquidAssets_nightrays,6,0,0,0,0,0,0,50,0.7264694,17.1471804,5.8950006,8.5676,11.2747628,124.96,40.7021922,0.4915694,1.107578
LiquidAssets_nightrays,7,0,0,0,0,0,0,50,0.7504464,16.9473642,4.6814284,8.68658,9.9223784,124.86,47.4951946,0.491668,1.163032
LiquidAssets_nightrays,8,0,0,0,0,0,0,50,0.7074668,16.7575488,5.040714,11.47636,12.6592736,125,51.680011,0.4921196,1.105932
LiquidAssets_nightrays,9,0,0,0,0,0,0,50,0.733889,17.6934356,5.872142,9.35118,8.9689138,124.8,34.1028614,0.4913526,1.256586
LiquidAssets_redseal,1,0,0,0,0,0,0,50,0.7700288,17.4653568,0.930714,6.03278,7.5504258,116.12,43.6068628,0.456948,1.260304
LiquidAssets_redseal,2,0,0,0,0,0,0,50,0.769344,18.5561234,1.987857,6.27686,8.2985316,111.36,46.7511444,0.4394284,1.261868
LiquidAssets_redseal,3,0,0,0,0,0,0,50,0.7197322,15.077507,5.9278572,8.57894,13.558815,121.26,50.2355558,0.4782256,1.209504
LiquidAssets_redseal,4,0,0,0,0,0,0,50,0.6880878,11.7610402,1.5085716,6.03654,15.0047276,127.72,44.7555342,0.5027082,1.199092
LiquidAssets_redseal,5,0,0,0,0,0,0,50,0.71942,22.4191456,0.3678566,4.85064,16.4382484,125.34,53.5212122,0.4932382,1.267476
LiquidAssets_spottedray,1,0,0,0,0,0,0,50,0.716863,36.5529308,0.6621422,4.38228,15.0869782,114.58,22.5839754,0.4593394,1.402546
LiquidAssets_spottedray,2,0,0,0,0,0,0,50,0.6880686,32.8851372,1.6699994,4.85558,12.747187,114.16,19.7903382,0.4538358,1.357786
LiquidAssets_spottedray,3,0,0,0,0,0,0,50,0.7108388,40.0756734,5.4892856,4.00758,13.208632,120.14,21.71973,0.47958,1.339498
LiquidAssets_spottedray,4,0,0,0,0,0,0,50,0.7472668,54.778166,4.2757146,3.362,15.015881,120.8,23.263499,0.4797256,1.312842
LiquidAssets_spottedray,5,0,0,0,0,0,0,50,0.7612532,65.269301,1.0942858,3.5429,17.7897622,124.96,24.7885372,0.495446,1.315378
LiquidAssets_spottedray,6,0,0,0,0,0,0,50,0.758298,66.6415048,0.655,3.26136,21.664892,128.64,28.614757,0.5102566,1.284676
LiquidAssets_spottedray,7,0,0,0,0,0,0,50,0.7540548,63.3701258,1.4800002,3.47456,18.954231,116.52,31.0458596,0.462313,1.492898
LiquidAssets_spottedray,8,0,0,0,0,0,0,50,0.7173302,27.1477774,2.1178574,4.1096,7.0399082,82.6,26.4176426,0.3254818,1.48298
LiquidAssets_spottedray,9,0,0,0,0,0,0,50,0.7222432,23.165025,0.2849994,4.04188,6.449259,73.8,25.6678952,0.2910008,1.452724
LiquidAssets_underboat1,1,0,0,0,0,0,0,50,0.6366608,18.9362588,0.48,5.42254,12.5016324,118.26,25.4122872,0.4680594,1.35069
LiquidAssets_underboat1,2,0,0,0,0,0,0,50,0.6899952,26.0714406,0.3149996,4.6241,10.6999746,120.26,27.4925984,0.4782258,1.384294
LiquidAssets_underboat1,3,0,0,0,0,0,0,50,0.7117454,29.8302218,0.1235712,4.28062,9.7830704,117.94,26.790678,0.4668238,1.389876
LiquidAssets_underboat1,4,0,0,0,0,0,0,50,0.6901952,27.9328872,0.2949998,4.64784,11.2421008,112.62,28.4355918,0.4463152,1.362574
LiquidAssets_underboat1,5,0,0,0,0,0,0,50,0.7155922,28.236318,0.1278566,4.4483,8.902775,110.8,24.3936066,0.4420744,1.383266
LiquidAssets_volcano,1,0,0,0,0,0,0,50,0.7011246,11.9332442,4.1971424,11.61508,1.8101514,125,37.9219306,0.4914134,1.071682
LiquidAssets_volcano,10,0,0,0,0,0,0,50,0.6876166,11.1210026,6.8528572,11.03214,2.6770464,125,34.5301532,0.4912162,1.164972
LiquidAssets_volcano,11,0,0,0,0,0,0,50,0.6831192,10.8079222,7.4249996,10.9528,2.2058112,125,34.4093894,0.4913038,1.180358
LiquidAssets_volcano,2,0,0,0,0,0,0,50,0.696857,10.9180846,4.9685718,10.43452,1.9529814,125,33.2978528,0.491412,1.151056
LiquidAssets_volcano,3,0,0,0,0,0,0,50,0.679252,13.129519,5.43,10.63384,2.8195184,125,38.624591,0.4914314,1.194938
LiquidAssets_volcano,4,0,0,0,0,0,0,50,0.6830384,13.662523,4.58,11.69762,2.5903294,124.88,41.2771266,0.491244,1.126284
LiquidAssets_volcano,5,0,0,0,0,0,0,50,0.6971744,14.1389144,4.7142856,11.24036,2.8458892,124.9,37.9488982,0.490963,1.13373
LiquidAssets_volcano,6,0,0,0,0,0,0,50,0.7019146,12.1537564,5.3064286,10.5292,2.3144726,124.6,33.8957398,0.4905034,1.112256
LiquidAssets_volcano,7,0,0,0,0,0,0,50,0.689409,10.6301702,6.058571,9.58804,2.3442382,123.48,37.6316684,0.4872526,1.117056
LiquidAssets_volcano,8,0,0,0,0,0,0,50,0.6939238,10.861114,10.7985714,10.01756,2.9547278,124.42,36.2549086,0.4899292,1.19883
LiquidAssets_volcano,9,0,0,0,0,0,0,50,0.6969642,10.3353372,14.0278568,11.51106,2.5940738,125,36.3152926,0.491089,1.174376
SVT_1080p50seg02,1,0,0,0,0,0,0,50,1.000046,73.7325786,1.5728566,2.91034,6.9979124,115.86,43.3835704,0.4545362,2.536296
SVT_1080p50seg02,10,0,0,0,0,0,0,50,0.9995754,68.5511934,0.6607142,3.69184,16.421925,112.16,54.3222566,0.4417906,2.884904
SVT_1080p50seg02,2,0,0,0,0,0,0,50,0.999578,23.430857,0.0392854,5.07478,9.8020184,95.36,35.7549286,0.3766172,2.716232
SVT_1080p50seg02,3,0,0,0,0,0,0,50,0.9988196,65.7041022,0.6364284,3.35748,13.4302354,109.22,47.2722792,0.4294314,2.575396
SVT_1080p50seg02,4,0,0,0,0,0,0,50,0.9991972,69.0097936,0.666428,3.49068,13.4035686,109.8,49.3463524,0.4320066,2.485756
SVT_1080p50seg02,5,0,0,0,0,0,0,50,0.9989018,69.153792,0.6664286,3.54512,14.5372698,110.14,50.2988702,0.433714,2.550616
SVT_1080p50seg02,6,0,0,0,0,0,0,50,0.9988664,68.6013948,0.747858,3.59916,15.4601802,111.58,51.076893,0.4395606,2.581894
SVT_1080p50seg02,7,0,0,0,0,0,0,50,1.0002068,70.7499452,1.085714,3.6449,16.3312864,112.04,51.1792266,0.4414146,2.636346
SVT_1080p50seg02,8,0,0,0,0,0,0,50,0.9992196,68.96598,0.7742868,3.66304,17.2001378,111.3,52.4470552,0.4383262,2.78714
SVT_1080p50seg02,9,0,0,0,0,0,0,50,1.0010334,68.3570598,0.7742856,3.66352,15.9073134,111.42,54.4033216,0.4386176,2.850328
SVT_1080p50seg09,1,0,0,0,0,0,0,50,0.9992626,81.9298188,0.0214276,3.67702,22.6145972,114.94,44.3902346,0.4593172,1.643656
SVT_1080p50seg09,10,0,0,0,0,0,0,50,0.9994254,82.123004,0.0157138,3.03208,21.9109068,122.36,39.1418186,0.4827274,1.997026
SVT_1080p50seg09,2,0,0,0,0,0,0,50,1.0005304,75.863811,0.0049998,2.99182,18.9702738,100.16,36.4694734,0.4007724,2.23382
SVT_1080p50seg09,3,0,0,0,0,0,0,50,1.0007036,82.8009294,0.003571,2.70168,33.185317,117.1,40.6162372,0.4685092,1.556718
SVT_1080p50seg09,4,0,0,0,0,0,0,50,0.9994714,82.212839,0.0007142,2.7346,35.9967902,122.56,40.5169896,0.4889276,1.64231
SVT_1080p50seg09,5,0,0,0,0,0,0,50,1.0009592,79.5953822,0.0014286,2.71802,35.7099844,122.6,38.8143854,0.4879088,1.698584
